Symbol	MCL_5	MCL_4	MCL_3	MCL_2	MCL_1	MCL_20	MCL_19	MCL_18	MCL_17	MCL_11	MCL_15	MCL_10	MCL_8	MCL_6	MCL_12	MCL_16	MCL_14	MCL_13	MCL_9	MCL_7
ATG101	8.75205138475339	8.24678813049271	8.65134587347207	9.86879404819503	9.21477079655389	7.89122045902797	8.99072589771363	9.37640233117901	9.71836853520917	8.44975404851065	8.85943540698501	9.22395950591787	8.58344013267367	9.07830480452068	9.35250167048649	8.31279433771739	8.53766621627462	9.3180977754062	9.60478029620567	9.31142565134042
ATG2B	8.94965134463855	9.39430875378787	9.90837723510603	8.52934499281814	9.39383578622624	9.89409149488272	9.40576339699248	9.56433528177209	9.52448880161514	9.61379220687605	9.32593907429781	9.27908040281695	9.70865951847199	9.40708657044911	8.85576635277707	9.72505475232566	9.1317721294806	9.05562791469442	8.77220908853923	10.0612152858642
ATG4B	9.85628543832784	9.43415826639444	9.66859435439425	9.57275476930628	9.65938141121608	9.86658317953359	10.0796596261339	9.67273559379728	9.68970064943442	9.63054843520163	9.90501061117479	9.87723757243553	9.60200789271294	9.45417170651885	9.6648668225865	9.89775683843855	9.92040507791743	9.765933140337	9.60681944147927	10.021521411278
ATM	12.4415899314747	11.3835734786495	12.2954003582153	11.7484201097707	12.5721145749984	12.393636270772	12.2746305461461	11.690783617013	11.0866864112042	12.0661585530215	11.1543044896479	12.5779197535403	11.7112273536932	11.9051559022041	12.2723313218025	12.0953641967408	11.7985697309034	12.3927158167528	11.4275032335772	10.9340585700276
ATOX1	10.7630392142634	9.52379547887911	9.07933902785483	11.0250072551323	9.98715207427727	9.2461063921995	10.1671224673843	10.2917246163552	10.5981011301006	9.92353416138967	10.4828720555208	9.16664866272825	9.45858864548859	10.0169042598565	9.90681395836746	9.45029786146733	9.4210419870064	9.59704269974282	11.7776498053867	10.1551224204617
ATP7A	6.50742901603347	6.3385806064122	7.15995748806311	6.47739291318342	7.19471314421263	7.06942402458188	7.11068652175455	6.5898059692882	6.72698166551388	7.45728772119606	6.95376278953316	7.12654700425993	6.82387310957033	6.27094988246308	6.54297891174617	6.46035152613125	6.01802996343141	5.78034991310588	7.00957861097968	6.88104018772814
ATR	9.3177677965299	9.83350466795381	10.1148281125735	8.00346172485101	9.262351861088	9.73185421059164	9.55045110693577	9.64291730574777	9.40536023340605	8.99385873781494	9.19880394981481	9.53093725933926	9.53787755529323	8.51887739590666	9.28373608507476	9.53835403813252	9.04316952570992	10.285259162261	8.98156423481008	8.95253123009911
ATRX	11.4783893430821	10.9011366940851	11.7733866440863	11.2027705330744	10.8129517998081	11.8577862312964	11.0632315843465	10.9766169157604	11.0091087523433	11.2694650267105	11.1646960954945	11.4636004081765	11.4753025190499	10.8101086935711	10.6043003591192	11.0157927825846	11.0981812730455	10.868776800527	10.690922153017	10.5944772463981
ATXN7	9.32668252133765	9.35820941316114	10.1884241433652	8.96625064575393	8.96024789057561	10.1193492499136	9.55797495731758	9.46951173557049	9.26201894090335	9.73651136512918	9.32770168299707	9.37447451770351	10.013350908434	9.42069700196776	9.43664767668641	9.77826655851199	10.2371984838936	9.63153107612811	8.93362975774638	9.08568978692961
AURKA	7.28154760861715	6.39668356097577	7.28664949297898	8.38300054290847	5.72078195588022	7.7270318271348	7.23792171005065	7.79561550642905	8.96402086281473	8.30277777214044	7.71607123181383	9.42278845548364	7.09950755218376	8.66326730524184	6.89198654068982	6.96285186666043	8.66548838988633	6.87550714614622	9.5696664430618	7.94517052514786
